data_set_id,w2vec_algorithm,pretrained,mapping,dim,window_size,t,f1,accuracy,recall,precision,language
swe_1.0.0,sgns,None,incremental,100,10,1.0,0.421,0.2903225806451613,1.0,0.267,swe
lat_1.0.0,cbow,None,alignment,100,10,2.0,0.636,0.6,0.538,0.778,lat
en_1.0.0,sgns,None,incremental,100,10,1.5,0.577,0.40540540540540543,0.938,0.417,en
lat_1.0.0,cbow,None,incremental,100,10,1.0,0.75,0.6,0.923,0.632,lat
en_1.0.0,sgns,glove,alignment,100,10,1.5,0.604,0.43243243243243246,1.0,0.432,en
lat_1.0.0,sgns,lat_conll17,alignment,100,10,2.0,0.8,0.7,0.923,0.706,lat
swe_1.0.0,sgns,None,alignment,100,10,1.0,0.174,0.3870967741935484,0.25,0.133,swe
de_1.0.0,sgns,None,alignment,100,10,2.0,0.429,0.5,0.529,0.36,de
de_1.0.0,cbow,None,incremental,100,10,2.0,0.523,0.3541666666666667,1.0,0.354,de
de_1.0.0,cbow,None,alignment,100,10,1.5,0.489,0.5208333333333334,0.647,0.393,de
en_1.0.0,cbow,glove,alignment,100,10,1.0,0.604,0.43243243243243246,1.0,0.432,en
en_1.0.0,cbow,glove,alignment,100,10,2.0,0.604,0.43243243243243246,1.0,0.432,en
de_1.0.0,sgns,None,alignment,100,10,1.0,0.578,0.6041666666666666,0.765,0.464,de
de_1.0.0,sgns,dewiki,alignment,100,10,1.5,0.619,0.6666666666666666,0.765,0.52,de
swe_1.0.0,cbow,None,incremental,100,10,2.0,0.41,0.25806451612903225,1.0,0.258,swe
en_1.0.0,cbow,glove,incremental,100,10,1.0,0.564,0.5405405405405406,0.688,0.478,en
en_1.0.0,cbow,None,alignment,100,10,1.0,0.312,0.40540540540540543,0.312,0.312,en
swe_1.0.0,cbow,None,alignment,100,10,2.0,0.5,0.6774193548387096,0.625,0.417,swe
de_1.0.0,sgns,dewiki,incremental,100,10,1.5,0.588,0.5625,0.882,0.441,de
en_1.0.0,cbow,glove,alignment,100,10,1.5,0.604,0.43243243243243246,1.0,0.432,en
de_1.0.0,cbow,None,alignment,100,10,1.0,0.476,0.5416666666666666,0.588,0.4,de
lat_1.0.0,sgns,lat_conll17,incremental,100,10,2.0,0.652,0.6,0.577,0.75,lat
en_1.0.0,sgns,None,alignment,100,10,2.0,0.308,0.5135135135135135,0.25,0.4,en
de_1.0.0,sgns,dewiki,alignment,100,10,1.0,0.651,0.6875,0.824,0.538,de
de_1.0.0,cbow,dewiki,incremental,100,10,1.5,0.571,0.5,0.941,0.41,de
en_1.0.0,sgns,None,alignment,100,10,1.0,0.412,0.4594594594594595,0.438,0.389,en
lat_1.0.0,sgns,lat_conll17,alignment,100,10,1.5,0.774,0.65,0.923,0.667,lat
de_1.0.0,sgns,dewiki,incremental,100,10,2.0,0.536,0.4583333333333333,0.882,0.385,de
en_1.0.0,cbow,None,incremental,100,10,2.0,0.604,0.43243243243243246,1.0,0.432,en
en_1.0.0,sgns,None,alignment,100,10,1.5,0.514,0.5405405405405406,0.562,0.474,en
en_1.0.0,sgns,glove,incremental,100,10,1.5,0.609,0.5135135135135135,0.875,0.467,en
lat_1.0.0,sgns,None,incremental,100,10,1.5,0.712,0.575,0.808,0.636,lat
en_1.0.0,sgns,None,incremental,100,10,2.0,0.604,0.43243243243243246,1.0,0.432,en
lat_1.0.0,cbow,lat_conll17,alignment,100,10,1.0,0.704,0.6,0.731,0.679,lat
swe_1.0.0,cbow,None,alignment,100,10,1.0,0.32,0.45161290322580644,0.5,0.235,swe
